打率,試合,打席数,打数,安打,打点,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0.292,141,596,548,160,34,42,3,60,1,4,0.345,0.35,0.695,4.65,4.48
0.269,143,595,483,130,67,101,4,96,0,24,0.395,0.422,0.817,5.77,5.84
0.3,141,593,516,155,80,69,6,122,0,6,0.388,0.541,0.929,7.89,7.59
0.265,143,592,521,138,113,57,7,108,0,16,0.341,0.53,0.871,6.04,6.17
0.272,137,581,493,134,101,76,5,100,0,10,0.37,0.515,0.885,6.71,6.84
0.31,135,571,519,161,43,44,4,75,4,12,0.369,0.474,0.843,6.17,5.84
0.301,141,569,519,156,73,41,4,53,0,15,0.353,0.455,0.808,5.67,5.52
0.245,139,552,462,113,56,70,3,59,11,8,0.344,0.348,0.692,4.36,4.44
0.286,137,551,504,144,60,37,2,70,4,14,0.335,0.399,0.733,4.55,4.51
0.233,130,547,447,104,35,89,4,99,3,3,0.362,0.318,0.68,4.58,4.66
0.262,136,545,485,127,95,50,3,109,0,15,0.33,0.478,0.809,5.25,5.39
0.298,133,545,447,133,69,88,4,84,0,11,0.413,0.472,0.885,7.35,7.14
0.272,139,543,481,131,42,33,13,62,14,15,0.335,0.393,0.728,4.35,4.27
0.301,134,542,478,144,83,51,10,116,0,15,0.378,0.552,0.931,7.11,7.0
0.277,132,542,494,137,60,42,1,86,2,8,0.333,0.429,0.762,4.96,4.9
0.278,140,534,474,132,59,48,10,156,2,1,0.357,0.441,0.798,6.11,5.94
0.317,132,533,435,138,88,87,6,88,0,7,0.433,0.639,1.072,10.03,9.77
0.275,130,526,480,132,70,35,8,56,0,15,0.333,0.433,0.766,4.84,4.75
0.258,128,526,446,115,71,74,4,72,0,16,0.367,0.451,0.818,5.67,5.68
0.273,135,525,466,127,36,29,6,81,20,6,0.321,0.328,0.649,4.09,4.0
0.314,137,523,487,153,71,27,6,85,1,16,0.356,0.534,0.89,6.51,6.24
0.259,137,520,475,123,39,40,1,79,0,21,0.315,0.347,0.663,3.44,3.39
0.309,125,520,431,133,41,79,6,65,1,4,0.42,0.469,0.889,7.86,7.55
0.272,119,516,464,126,29,31,2,67,17,5,0.319,0.347,0.666,3.95,3.87
0.26,129,512,466,121,71,37,2,89,0,15,0.313,0.453,0.765,4.65,4.76
0.28,126,507,461,129,56,28,9,94,5,9,0.331,0.414,0.745,4.62,4.52
0.258,122,501,446,115,56,43,10,44,0,10,0.335,0.383,0.719,4.58,4.5
0.233,116,499,416,97,75,70,10,132,0,9,0.355,0.5,0.855,6.13,6.17
0.258,120,495,469,121,60,22,2,80,0,18,0.293,0.401,0.694,3.69,3.65
0.255,137,493,432,110,37,40,2,95,18,7,0.32,0.338,0.658,3.77,3.67
0.286,125,488,441,126,30,41,2,61,1,9,0.347,0.351,0.698,4.4,4.32
0.271,117,487,424,115,46,58,1,90,2,4,0.359,0.467,0.826,6.09,5.99
0.315,132,484,422,133,68,51,4,60,2,9,0.39,0.467,0.857,6.71,6.54
0.298,113,481,449,134,35,13,3,57,12,7,0.32,0.399,0.718,4.4,4.28
0.227,143,479,405,92,44,44,2,142,26,7,0.305,0.353,0.658,3.34,3.45
0.238,130,478,425,101,48,43,3,70,4,3,0.31,0.348,0.658,3.9,3.98
0.274,135,477,431,118,37,38,2,100,3,4,0.333,0.422,0.756,5.08,5.05
0.284,123,475,430,122,74,39,2,114,0,12,0.343,0.44,0.783,5.23,5.24
0.228,136,473,448,102,48,12,3,101,6,11,0.251,0.353,0.603,2.63,2.73
0.275,107,471,408,112,21,43,8,52,10,6,0.354,0.321,0.675,4.45,4.38
